Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Date,,,,,
2024-10-15,6106.7001953125,6275.85009765625,6020.35009765625,6150.0,1370567
2024-10-16,6123.64990234375,6142.75,6057.0,6101.7001953125,476603
2024-10-17,6077.39990234375,6170.9501953125,6045.60009765625,6123.64990234375,290563
2024-10-18,6022.25,6091.89990234375,6004.64990234375,6077.4501953125,334347
2024-10-21,5925.0,6108.39990234375,5909.35009765625,6029.9501953125,566368
2024-10-22,5817.9501953125,5964.0,5805.0,5920.0,569761
2024-10-23,5727.60009765625,5858.39990234375,5717.25,5804.39990234375,327730
2024-10-24,5736.64990234375,5771.2998046875,5692.25,5761.0,560790
2024-10-25,5780.75,5834.9501953125,5742.0,5742.0,1007972
2024-10-28,5814.39990234375,5850.0,5707.7998046875,5764.89990234375,391605
2024-10-29,5803.35009765625,5845.10009765625,5746.0,5800.0,274283
2024-10-30,5886.60009765625,5933.9501953125,5797.0,5843.75,500928
2024-10-31,5889.64990234375,5940.0,5858.64990234375,5937.5,423706
2024-11-01,5903.5498046875,5932.5498046875,5871.75,5928.2001953125,34122
2024-11-04,5901.75,5941.2998046875,5841.7001953125,5904.25,357941
2024-11-05,5811.25,5901.75,5678.35009765625,5900.0,397496
2024-11-06,5954.14990234375,6005.7001953125,5810.0,5810.0,619492
2024-11-07,5959.9501953125,6050.0,5881.5498046875,6000.0,789818
2024-11-08,5949.85009765625,6062.0,5880.0,5980.0,447048
2024-11-11,5899.9501953125,6155.0,5782.2001953125,6155.0,1339441
2024-11-12,5810.7001953125,5949.85009765625,5782.0498046875,5915.0,433122
2024-11-13,5770.10009765625,5831.7001953125,5710.5498046875,5809.60009765625,250370
2024-11-14,5750.10009765625,5825.9501953125,5723.14990234375,5770.10009765625,220287
2024-11-18,5766.64990234375,5814.0498046875,5690.5,5700.0,390727
2024-11-19,5900.85009765625,5960.9501953125,5769.85009765625,5769.85009765625,427565
2024-11-21,5977.10009765625,6004.5,5880.10009765625,5880.10009765625,448388
2024-11-22,5998.35009765625,6056.9501953125,5980.0,5980.0,309695
2024-11-25,6138.4501953125,6185.0,6020.9501953125,6029.9501953125,839267
2024-11-26,6072.5,6159.0498046875,6006.10009765625,6149.14990234375,218533
2024-11-27,5999.2001953125,6105.85009765625,5988.9501953125,6072.5,149153
2024-11-28,5951.7998046875,6022.7998046875,5902.10009765625,6022.7998046875,318089
2024-11-29,6172.7001953125,6208.2998046875,6000.0,6024.0498046875,1027507
2024-12-02,6255.35009765625,6282.0,6169.5498046875,6185.0,665882
2024-12-03,6210.5498046875,6285.4501953125,6194.2001953125,6280.0,742965
2024-12-04,6256.5,6268.25,6178.0498046875,6225.0,556873
2024-12-05,6096.2001953125,6184.85009765625,5866.10009765625,6184.85009765625,1426021
2024-12-06,6130.75,6192.9501953125,6105.10009765625,6140.0,704328
2024-12-09,5959.64990234375,6041.5498046875,5937.64990234375,5999.9501953125,1123022
2024-12-10,5932.60009765625,6032.7998046875,5871.0,5989.4501953125,393478
2024-12-11,5927.9501953125,5970.5,5904.0,5956.0,355231
2024-12-12,5951.7001953125,6055.0,5928.25,5950.0,359123
2024-12-13,5876.7001953125,5949.2998046875,5844.2001953125,5949.2998046875,445372
2024-12-16,5856.4501953125,5909.9501953125,5820.0,5883.5,308602
2024-12-17,5847.39990234375,5935.0,5819.5498046875,5868.0,393644
2024-12-18,5849.75,5904.7998046875,5839.4501953125,5848.0,280887
2024-12-19,5820.75,5869.0,5780.0,5847.35009765625,451008
2024-12-20,5846.75,5957.25,5790.0,5790.0,497158
2024-12-23,5849.4501953125,5935.0,5837.0,5846.75,464380
2024-12-24,5782.35009765625,5933.0498046875,5739.4501953125,5860.0,252658
2024-12-26,5886.75,5922.0,5716.5,5792.0,183602
2024-12-27,5881.0498046875,5934.9501953125,5870.14990234375,5900.0,186225
2024-12-30,6045.0,6138.85009765625,5880.0,5881.0498046875,1928937
2024-12-31,6098.7998046875,6135.25,5975.64990234375,6029.39990234375,610044
2025-01-01,6073.0,6135.10009765625,6060.7001953125,6090.0,116675
2025-01-02,6144.75,6154.75,6010.0,6073.0,180792
2025-01-03,6048.2998046875,6248.89990234375,6030.14990234375,6159.0,427384
2025-01-06,5891.64990234375,6068.2001953125,5841.0,6068.2001953125,334922
2025-01-07,5907.9501953125,5936.9501953125,5875.0,5910.0,303309
2025-01-08,5868.39990234375,5965.85009765625,5822.2001953125,5930.0,213589
2025-01-09,5824.5498046875,5905.5498046875,5811.75,5861.7001953125,98271
2025-01-10,5771.35009765625,5840.0,5715.2001953125,5800.0,384413
2025-01-13,5732.5,5887.5,5654.35009765625,5824.0,770897
2025-01-14,5990.2998046875,6006.4501953125,5749.35009765625,5761.10009765625,439344
2025-01-15,5876.85009765625,6000.39990234375,5768.5,6000.35009765625,483267
2025-01-16,5916.0498046875,5952.7998046875,5755.7001953125,5840.0,428736
2025-01-17,5916.0498046875,5938.85009765625,5871.7001953125,5930.5,177031
2025-01-20,6000.60009765625,6028.0,5840.0498046875,5917.0,309737
2025-01-21,5818.89990234375,6068.0498046875,5806.2998046875,6011.7001953125,437884
2025-01-22,5812.5,5846.89990234375,5755.0,5838.5498046875,513868
2025-01-23,5850.9501953125,5905.0498046875,5780.39990234375,5780.39990234375,449602
2025-01-24,5762.60009765625,5900.39990234375,5707.2998046875,5850.0,387486
2025-01-27,5576.75,5749.0,5546.0,5725.5,243092
2025-01-28,5410.2001953125,5585.0,5351.64990234375,5580.39990234375,588891
2025-01-29,5620.14990234375,5648.0,5361.5,5374.10009765625,241519
2025-01-30,5735.89990234375,5791.60009765625,5601.7998046875,5621.10009765625,234255
2025-01-31,5577.7001953125,5750.9501953125,5548.89990234375,5717.5498046875,429090
2025-02-01,5618.5498046875,5653.85009765625,5510.0,5589.0,108307
2025-02-03,5884.10009765625,5955.10009765625,5471.0,5619.0,1299208
2025-02-04,6096.25,6230.0,5972.7001953125,6049.9501953125,1307734
2025-02-05,6123.5,6207.2001953125,6007.5,6060.5498046875,389786
2025-02-06,6119.7001953125,6205.89990234375,6098.0498046875,6148.2998046875,373619
2025-02-07,6140.5498046875,6161.5,6080.5,6116.5498046875,153029
2025-02-10,5938.7998046875,6179.0,5921.64990234375,6142.0,284788
2025-02-11,5946.75,5964.7998046875,5862.10009765625,5949.9501953125,443166
2025-02-12,5969.85009765625,6000.0,5805.0,5946.75,292103
2025-02-13,6010.5,6155.0,5984.75,5999.7001953125,667461
2025-02-14,5843.75,6060.0,5766.0498046875,6017.2998046875,294685
2025-02-17,5923.75,5940.0,5760.25,5832.0,207670
2025-02-18,5839.7001953125,5978.89990234375,5793.0,5950.0,283564
2025-02-19,5934.89990234375,5956.25,5740.0,5810.0,337225
2025-02-20,5978.2998046875,5987.9501953125,5892.2998046875,5915.0,292029
2025-02-21,5757.0498046875,5998.2998046875,5684.14990234375,5960.0,1003530
2025-02-24,5702.5498046875,5750.7001953125,5664.4501953125,5680.39990234375,306309
2025-02-25,5726.39990234375,5774.2998046875,5664.7998046875,5701.0,188012
2025-02-27,5615.7998046875,5785.0,5579.25,5726.39990234375,257921
2025-02-28,5480.25,5600.0,5364.85009765625,5600.0,564464
2025-03-03,5540.25,5572.39990234375,5360.64990234375,5480.25,308548
2025-03-04,5517.7001953125,5556.9501953125,5457.85009765625,5500.0,142095
2025-03-05,5516.5498046875,5563.0498046875,5460.0,5460.0,392202
2025-03-06,5568.7001953125,5645.9501953125,5549.9501953125,5549.9501953125,280218
2025-03-07,5578.75,5619.7998046875,5528.39990234375,5553.2998046875,187672
2025-03-10,5514.25,5631.64990234375,5486.85009765625,5578.75,281666
2025-03-11,5546.25,5578.2001953125,5414.25,5454.0,211471
2025-03-12,5667.14990234375,5677.10009765625,5481.7001953125,5525.0,345394
2025-03-13,5620.4501953125,5758.25,5604.0,5695.5,219553
2025-03-17,5670.85009765625,5695.0,5582.0498046875,5620.4501953125,133663
2025-03-18,5670.85009765625,5670.85009765625,5670.85009765625,5670.85009765625,0
2025-03-19,5818.10009765625,5850.0,5742.0498046875,5780.0,231264
2025-03-20,5822.10009765625,5865.7998046875,5805.0,5850.0,252148
2025-03-21,5797.35009765625,5855.5,5739.5498046875,5848.0,537097
2025-03-24,5910.7001953125,5935.0,5775.39990234375,5795.89990234375,322013
2025-03-25,5840.64990234375,5940.25,5815.4501953125,5940.25,330676
2025-03-26,5839.2001953125,5918.2001953125,5767.5498046875,5869.85009765625,238411
2025-03-27,5872.64990234375,5893.75,5727.2001953125,5838.0,385946
2025-03-28,5775.4501953125,5885.0,5738.0,5850.0,291524
2025-04-01,5549.7001953125,5818.5,5521.0,5749.5,341053
2025-04-02,5666.0,5681.4501953125,5535.0,5550.5498046875,316866
2025-04-03,5763.0,5970.0,5729.35009765625,5889.9501953125,537669
2025-04-04,5482.85009765625,5762.64990234375,5384.9501953125,5760.0,681423
2025-04-07,5258.9501953125,5358.85009765625,4955.0,4955.0,565168
2025-04-08,5387.2998046875,5475.0,5303.0,5347.10009765625,369634
2025-04-09,5386.14990234375,5429.60009765625,5231.60009765625,5300.0,458062
2025-04-11,5589.2998046875,5625.0,5386.14990234375,5550.0,794543
2025-04-15,5734.5,5767.5,5605.0,5638.5,586197
2025-04-16,5754.0,5805.5,5685.0,5715.0,280947
2025-04-17,5640.0,5798.0,5596.0,5750.0,531948
2025-04-21,5891.5,5920.0,5799.0,5850.0,717346
2025-04-22,5911.5,6018.5,5823.0,5884.5,666774
2025-04-23,5924.5,5975.0,5891.5,5927.0,637067
2025-04-24,6215.5,6308.5,5953.5,5982.5,2081063
2025-04-25,6012.5,6285.0,5964.5,6240.0,964571
2025-04-28,6026.5,6125.0,5992.0,6015.0,317230
2025-04-29,6108.0,6130.0,5916.0,6055.0,640125
2025-04-30,6087.0,6136.0,6015.5,6115.5,489551
2025-05-02,6079.5,6153.0,6045.5,6080.0,957962
2025-05-05,6124.5,6208.0,6096.0,6205.5,399200
2025-05-06,6161.0,6178.5,5970.0,6110.0,344379
2025-05-07,6148.0,6170.0,6059.5,6085.0,346799
2025-05-08,5960.5,6184.0,5920.0,6172.5,364862
2025-05-09,6025.5,6055.5,5841.5,5841.5,449984
2025-05-12,5942.0,6044.0,5878.5,6035.0,705516
2025-05-13,6076.5,6147.5,5955.0,5955.5,759310
2025-05-14,6215.5,6282.5,6055.5,6100.0,576348
2025-05-15,6214.5,6259.5,6163.5,6198.5,462230
2025-05-16,6279.5,6323.0,6162.0,6239.0,556329
2025-05-19,6580.0,6705.0,6333.5,6400.0,2712326
2025-05-20,6452.5,6595.0,6433.0,6580.0,448280
2025-05-21,6552.0,6596.5,6454.0,6454.0,510445
2025-05-22,6538.0,6570.0,6458.0,6540.0,326992
2025-05-23,6483.0,6560.0,6457.0,6560.0,224119
2025-05-26,6737.0,6764.0,6592.5,6640.0,1467231
2025-05-27,6698.0,6760.5,6684.0,6725.0,294304
2025-05-28,6636.0,6750.0,6620.0,6730.0,312692
2025-05-29,6631.5,6670.5,6603.0,6645.0,364770
2025-05-30,6612.0,6667.5,6541.0,6601.5,786589
2025-06-02,6539.0,6631.0,6520.0,6614.5,283232
2025-06-03,6530.0,6600.0,6514.5,6544.0,398776
2025-06-04,6618.0,6649.5,6530.0,6550.0,407206
2025-06-05,6628.5,6679.0,6608.0,6628.0,200706
2025-06-06,6544.5,6630.0,6505.0,6630.0,361092
2025-06-09,6633.0,6654.5,6547.5,6557.5,254156
2025-06-10,6674.0,6697.0,6611.0,6644.5,288574
2025-06-11,6719.0,6766.0,6680.0,6680.0,539922
2025-06-12,6725.0,6862.5,6706.0,6719.0,647651
2025-06-13,6667.0,6720.5,6611.0,6700.0,431430
2025-06-16,6687.5,6698.0,6615.0,6632.0,166374
2025-06-17,6538.0,6702.5,6490.5,6690.0,341004
2025-06-18,6549.0,6649.0,6513.0,6548.0,447218
2025-06-19,6493.0,6566.5,6480.0,6545.0,240502
2025-06-20,6592.0,6602.5,6455.5,6500.0,560932
2025-06-23,6636.0,6664.5,6560.0,6570.0,478962
2025-06-24,6565.5,6680.0,6555.0,6680.0,270144
2025-06-25,6586.5,6607.5,6521.0,6585.0,234226
